,ENLISH,ENCODED
0,Hi.,Ij/
1,Hi.,Ij/
2,Hi.,Ij/
3,Run!,"Svo"""
4,Who?,Xip@
5,Wow!,"Xpx"""
6,Fire!,"Gjsf"""
7,Fire!,"Gjsf"""
8,Help!,"Ifmq"""
9,Jump.,Kvnq/
10,Stop!,"Tupq"""
11,Stop!,"Tupq"""
12,Wait.,Xbju/
13,Hello!,"Ifmmp"""
14,Hello!,"Ifmmp"""
15,Hello!,"Ifmmp"""
16,I try.,J!usz/
17,I won!,"J!xpo"""
18,I won.,J!xpo/
19,Oh no!,"Pi!op"""
20,Relax.,Sfmby/
21,Smile.,Tnjmf/
22,Smile.,Tnjmf/
23,Attack!,"Buubdl"""
24,Cheers!,"Diffst"""
25,Cheers!,"Diffst"""
26,Freeze!,"Gsff{f"""
27,Get up.,Hfu!vq/
28,Got it!,"Hpu!ju"""
29,Got it!,"Hpu!ju"""
30,Hop in.,Ipq!jo/
31,Hug me.,Ivh!nf/
32,I know.,J!lopx/
33,I lied.,J!mjfe/
34,I quit.,J!rvju/
35,I quit.,J!rvju/
36,I'm 19.,J(n!2:/
37,I'm OK.,J(n!PL/
38,I'm OK.,J(n!PL/
39,Listen.,Mjtufo/
40,No way!,"Op!xbz"""
41,No way!,"Op!xbz"""
42,Really?,Sfbmmz@
43,Really?,Sfbmmz@
44,Thanks.,Uibolt/
45,Thanks.,Uibolt/
46,Thanks.,Uibolt/
47,We try.,Xf!usz/
48,Why me?,Xiz!nf@
49,Ask Tom.,Btl!Upn/
50,Ask Tom.,Btl!Upn/
51,Awesome!,"Bxftpnf"""
52,Awesome!,"Bxftpnf"""
53,Awesome!,"Bxftpnf"""
54,Awesome!,"Bxftpnf"""
55,Be calm.,Cf!dbmn/
56,Be cool.,Cf!dppm/
57,Be fair.,Cf!gbjs/
58,Be kind.,Cf!ljoe/
59,Be kind.,Cf!ljoe/
60,Be nice.,Cf!ojdf/
61,Beat it.,Cfbu!ju/
62,Beat it.,Cfbu!ju/
63,Beat it.,Cfbu!ju/
64,Call me.,Dbmm!nf/
65,Call me.,Dbmm!nf/
66,Come in.,Dpnf!jo/
67,Come in.,Dpnf!jo/
68,Come on!,"Dpnf!po"""
69,Get Tom.,Hfu!Upn/
70,Get out!,"Hfu!pvu"""
71,Get out.,Hfu!pvu/
72,Get out.,Hfu!pvu/
73,Get out.,Hfu!pvu/
74,Go away!,"Hp!bxbz"""
75,Go away!,"Hp!bxbz"""
76,Go away!,"Hp!bxbz"""
77,Go away.,Hp!bxbz/
78,Goodbye!,"Hppeczf"""
79,Goodbye!,"Hppeczf"""
80,He runs.,If!svot/
81,Help me!,"Ifmq!nf"""
82,Help me.,Ifmq!nf/
83,Help us.,Ifmq!vt/
84,Help us.,Ifmq!vt/
85,"Hi, Tom.",Ij-!Upn/
86,Hit Tom.,Iju!Upn/
87,Hit Tom.,Iju!Upn/
88,Hold on.,Ipme!po/
89,Hold on.,Ipme!po/
90,Hug Tom.,Ivh!Upn/
91,I agree.,J!bhsff/
92,I agree.,J!bhsff/
93,I drove.,J!espwf/
94,I smoke.,J!tnplf/
95,I'll go.,J(mm!hp/
96,I'm Tom.,J(n!Upn/
97,I'm fat.,J(n!gbu/
98,I'm ill.,J(n!jmm/
99,I'm old.,J(n!pme/
100,I'm sad.,J(n!tbe/
101,I'm shy.,J(n!tiz/
102,It's OK.,Ju(t!PL/
103,It's me!,"Ju(t!nf"""
104,It's me.,Ju(t!nf/
105,Join us.,Kpjo!vt/
106,Join us.,Kpjo!vt/
107,Join us.,Kpjo!vt/
108,Join us.,Kpjo!vt/
